GEN,TIME,EVAL,BEST,AVG,STDDEV,WORST
0	0.3		100		1.60e+02  1.63e+04  8.34e+03  3.36e+04
1	1.8		150		1.60e+02  5.43e+03  5.61e+03  1.81e+04
2	2.9		200		1.43e+02  6.42e+02  7.19e+02  3.08e+03
3	3.12		250		1.43e+02  1.94e+02  9.04e+01  4.35e+02
4	4.16		300		1.19e+02  1.50e+02  8.92e+00  1.60e+02
5	5.21		350		1.19e+02  1.40e+02  8.06e+00  1.47e+02
6	6.18		400		1.10e+02  1.29e+02  1.18e+01  1.48e+02
7	7.28		450		1.10e+02  1.19e+02  4.72e+00  1.43e+02
8	8.27		500		1.10e+02  1.16e+02  4.56e+00  1.35e+02
9	9.27		550		1.10e+02  1.12e+02  3.37e+00  1.26e+02
10	10.16		600		1.10e+02  1.11e+02  5.00e+00  1.37e+02
11	11.13		650		1.10e+02  1.10e+02  2.46e+00  1.31e+02
12	12.5		700		1.10e+02  1.10e+02  3.31e+00  1.35e+02
13	12.77		750		1.10e+02  1.10e+02  1.42e+00  1.21e+02
14	13.75		800		1.09e+02  1.10e+02  7.95e-02  1.10e+02
15	14.76		850		1.09e+02  1.10e+02  2.61e+00  1.30e+02
16	15.75		900		1.09e+02  1.10e+02  1.07e+00  1.19e+02
17	16.70		950		1.09e+02  1.10e+02  2.18e+00  1.31e+02
18	17.65		1000		1.09e+02  1.10e+02  3.48e+00  1.36e+02
19	18.46		1050		1.09e+02  1.10e+02  3.78e+00  1.37e+02
20	19.37		1100		1.09e+02  1.10e+02  3.27e+00  1.34e+02
21	20.23		1150		1.09e+02  1.09e+02  5.02e-04  1.09e+02
22	21.13		1200		1.09e+02  1.09e+02  6.37e-01  1.16e+02
23	22.6		1250		1.09e+02  1.10e+02  2.57e+00  1.28e+02
24	22.98		1300		1.09e+02  1.10e+02  4.28e+00  1.37e+02
25	23.88		1350		1.09e+02  1.10e+02  3.61e+00  1.35e+02
26	24.82		1400		1.09e+02  1.09e+02  2.54e+00  1.34e+02
27	25.73		1450		1.09e+02  1.10e+02  4.32e+00  1.36e+02
28	26.66		1500		1.09e+02  1.10e+02  2.53e+00  1.25e+02
29	27.61		1550		1.09e+02  1.09e+02  4.65e-04  1.09e+02
30	28.51		1600		1.09e+02  1.09e+02  1.63e+00  1.21e+02
31	29.42		1650		1.09e+02  1.10e+02  2.68e+00  1.29e+02
32	30.32		1700		1.09e+02  1.10e+02  3.69e+00  1.31e+02
33	31.23		1750		1.09e+02  1.10e+02  3.56e+00  1.31e+02
34	32.15		1800		1.09e+02  1.10e+02  2.70e+00  1.31e+02
35	33.8		1850		1.09e+02  1.09e+02  1.81e+00  1.22e+02
36	33.98		1900		1.09e+02  1.10e+02  2.97e+00  1.28e+02
37	34.87		1950		1.09e+02  1.10e+02  1.94e+00  1.23e+02
38	35.81		2000		1.09e+02  1.09e+02  2.73e+00  1.31e+02
39	36.73		2050		1.09e+02  1.09e+02  5.23e-01  1.14e+02
40	37.63		2100		1.09e+02  1.09e+02  2.01e+00  1.24e+02
41	38.51		2150		1.09e+02  1.09e+02  3.19e-01  1.12e+02
42	39.44		2200		1.09e+02  1.09e+02  2.88e+00  1.34e+02
43	40.35		2250		1.09e+02  1.09e+02  1.70e+00  1.22e+02
44	41.33		2300		1.09e+02  1.09e+02  7.32e-01  1.16e+02
45	42.33		2350		1.09e+02  1.09e+02  4.60e-01  1.14e+02
46	43.46		2400		1.09e+02  1.10e+02  3.38e+00  1.32e+02
47	44.65		2450		1.09e+02  1.09e+02  2.27e+00  1.30e+02
48	45.75		2500		1.09e+02  1.09e+02  9.95e-01  1.19e+02
49	46.83		2550		1.09e+02  1.09e+02  2.16e+00  1.29e+02
50	47.87		2600		1.09e+02  1.09e+02  1.21e+00  1.21e+02
51	48.84		2650		1.09e+02  1.09e+02  2.66e+00  1.36e+02
52	49.79		2700		1.09e+02  1.09e+02  1.18e-01  1.10e+02
53	50.71		2750		1.09e+02  1.10e+02  3.30e+00  1.34e+02
54	51.61		2800		1.09e+02  1.09e+02  2.71e+00  1.35e+02
55	52.52		2850		1.09e+02  1.09e+02  2.52e+00  1.34e+02
56	53.47		2900		1.09e+02  1.09e+02  2.49e+00  1.27e+02
57	54.43		2950		1.09e+02  1.10e+02  3.58e+00  1.30e+02
58	55.38		3000		1.09e+02  1.09e+02  1.65e+00  1.26e+02
59	56.30		3050		1.09e+02  1.09e+02  2.01e+00  1.29e+02
60	57.29		3100		1.09e+02  1.09e+02  4.70e-01  1.14e+02
61	58.9		3150		1.09e+02  1.09e+02  2.84e-01  1.12e+02
62	58.53		3200		1.09e+02  1.10e+02  2.84e+00  1.32e+02
63	58.96		3250		1.09e+02  1.09e+02  3.46e-01  1.13e+02
64	59.40		3300		1.09e+02  1.10e+02  3.44e+00  1.34e+02
65	59.79		3350		1.09e+02  1.09e+02  1.38e+00  1.22e+02
66	60.24		3400		1.09e+02  1.10e+02  4.08e+00  1.31e+02
67	60.68		3450		1.09e+02  1.10e+02  5.15e+00  1.38e+02
68	61.9		3500		1.09e+02  1.10e+02  3.57e+00  1.31e+02
69	61.49		3550		1.09e+02  1.09e+02  2.42e+00  1.27e+02
70	61.88		3600		1.09e+02  1.09e+02  1.90e+00  1.22e+02
71	62.29		3650		1.09e+02  1.10e+02  2.87e+00  1.29e+02
72	62.71		3700		1.09e+02  1.10e+02  2.88e+00  1.34e+02
73	63.14		3750		1.09e+02  1.09e+02  1.60e+00  1.20e+02
74	63.55		3800		1.09e+02  1.09e+02  6.65e-01  1.16e+02
75	63.96		3850		1.09e+02  1.10e+02  4.00e+00  1.32e+02
76	64.38		3900		1.09e+02  1.10e+02  3.52e+00  1.31e+02
77	64.78		3950		1.09e+02  1.10e+02  4.75e+00  1.33e+02
78	65.21		4000		1.09e+02  1.09e+02  1.83e+00  1.27e+02
79	65.62		4050		1.09e+02  1.10e+02  4.59e+00  1.36e+02
80	66.3		4100		1.09e+02  1.10e+02  3.21e+00  1.31e+02
81	66.46		4150		1.09e+02  1.09e+02  1.40e+00  1.22e+02
82	66.87		4200		1.09e+02  1.10e+02  3.41e+00  1.30e+02
83	67.29		4250		1.09e+02  1.10e+02  3.78e+00  1.35e+02
84	67.69		4300		1.09e+02  1.10e+02  2.97e+00  1.35e+02
85	68.8		4350		1.09e+02  1.09e+02  7.78e-01  1.17e+02
86	68.47		4400		1.09e+02  1.09e+02  3.84e-01  1.12e+02
87	68.85		4450		1.09e+02  1.09e+02  2.47e+00  1.28e+02
88	69.24		4500		1.09e+02  1.10e+02  2.28e+00  1.23e+02
89	69.62		4550		1.09e+02  1.09e+02  9.42e-01  1.15e+02
90	70.1		4600		1.09e+02  1.10e+02  4.92e+00  1.39e+02
91	70.39		4650		1.09e+02  1.10e+02  2.16e+00  1.21e+02
92	70.77		4700		1.09e+02  1.10e+02  3.54e+00  1.34e+02
93	71.15		4750		1.09e+02  1.09e+02  1.78e+00  1.20e+02
94	71.53		4800		1.09e+02  1.09e+02  2.51e+00  1.29e+02
95	71.92		4850		1.09e+02  1.10e+02  3.45e+00  1.34e+02
96	72.30		4900		1.09e+02  1.10e+02  2.39e+00  1.27e+02
97	72.68		4950		1.09e+02  1.10e+02  3.10e+00  1.29e+02
98	73.6		5000		1.09e+02  1.10e+02  3.06e+00  1.32e+02
99	73.44		5050		1.09e+02  1.10e+02  4.02e+00  1.36e+02
